Name,Class,Class_label,Mean_kNN_Tc,Max_Tc_to_train,Within_AD
44_Divinyl_glycol,0,Non-sweet,0.1155,0.125,False
397_Piperine,0,Non-sweet,0.1341,0.1702,False
27_Hernandulcin,1,Sweet,0.1673,0.193,False
43_Quinine,0,Non-sweet,0.1826,0.2143,False
356_syn_hydroxymethyl_Furfuraldehyde_oxime,0,Non-sweet,0.1848,0.2368,False
355_Furfuraldehyde_oxime,1,Sweet,0.2094,0.2571,False
357_5_Benzyl_2_Furfuraldehyde_oxime,1,Sweet,0.2131,0.2222,False
386_Imidazole,0,Non-sweet,0.2169,0.2381,False
256_Dimethyl_urea,1,Sweet,0.2609,0.4167,False
392_Pyrazine,0,Non-sweet,0.2822,0.5,False
9_Acesulfame_potassium,1,Sweet,0.2829,0.4062,False
432_3_anilino_2_phenyl_3H_naphtho__I__2_d_imidazol_5_sulfonate__TSN_,0,Non-sweet,0.2855,0.6481,False
396_Brucine,0,Non-sweet,0.2967,0.7077,False
265_Allo_inositol,1,Sweet,0.2974,0.4545,False
298_Threonine,1,Sweet,0.309,0.3478,False
262_1_4_Anhydro_mannitol,1,Sweet,0.3342,0.4194,True
291_Alanine,1,Sweet,0.3347,0.4211,True
398_Solanine,0,Non-sweet,0.3367,0.4054,True
290_1_6_Di_S_1_6_dithio_D_fructofuranose,1,Sweet,0.346,0.4412,True
296_Methionine,1,Sweet,0.349,0.44,True
258_Resorcinol,1,Sweet,0.3527,0.5385,True
623_isovanillic_25,1,Sweet,0.3557,0.4815,True
615_cyclamate,1,Sweet,0.3581,0.56,True
388_Piperidine,0,Non-sweet,0.3589,0.8889,True
35_Rhamnose,1,Sweet,0.3593,0.5,True
383_Suosan_derivative_18,0,Non-sweet,0.3634,0.4194,True
625_Lugduname,1,Sweet,0.3723,0.4727,True
622_Isovanillic_24,1,Sweet,0.3816,0.587,True
363_ortho_Tolylurea,0,Non-sweet,0.3853,0.4688,True
636_Pterocaryoside_A,1,Sweet,0.3854,0.8077,True
314_Aspartic_acid_fenchyl_ester,1,Sweet,0.3857,0.4138,True
644_Sorbose,1,Sweet,0.3897,0.5,True
466_Albiziasaponin_B,1,Sweet,0.3955,0.4123,True
52_3_nitro_p_toluidine,0,Non-sweet,0.3974,0.4545,True
229_Compound_LXXVI,0,Non-sweet,0.4065,0.475,True
624_Leucrose,1,Sweet,0.41,0.4783,True
58_o_ethoxyphenylurea,0,Non-sweet,0.4143,0.5278,True
133_Compound_29,0,Non-sweet,0.4356,0.5429,True
468_Asp_1,1,Sweet,0.4492,0.4651,True
54_2_nitro_4_amino_propoxybenzene,0,Non-sweet,0.4568,0.7027,True
135_Substituted_pterocarpan__5_,0,Non-sweet,0.4586,0.5,True
280_Methyl_I+-_D_2_6_dideoxy_gluco_pyranoside,0,Non-sweet,0.4664,0.5806,True
185_Guaiacol,0,Non-sweet,0.4684,0.4848,True
350_Saccharine_derivative_23,1,Sweet,0.4724,0.625,True
634_Potassium_saccharin,1,Sweet,0.4732,0.9167,True
169_Compound_XVI,0,Non-sweet,0.474,0.4872,True
285_1_6_dichloro_1_6_deoxy_D_fructofuranose,1,Sweet,0.4753,0.7407,True
278_Methyl_4_deoxy_I+-_D_gluco_pyranoside,1,Sweet,0.483,0.5806,True
609_Aspartame_acesulfame_salt,1,Sweet,0.4843,0.5667,True
454_Liquiritin,1,Sweet,0.4897,0.5676,True
6_Maltitol,1,Sweet,0.4935,0.641,True
126_Compound_22,0,Non-sweet,0.4939,0.5526,True
190_Compound_XXXVII,0,Non-sweet,0.4981,0.6042,True
334_Saccharine_derivative_5,1,Sweet,0.5091,0.5714,True
263_1_5_Anhydro_mannitol,1,Sweet,0.5122,0.9,True
70_Compound_23,0,Non-sweet,0.5163,0.7111,True
177_Compound_XXIV,1,Sweet,0.5196,0.55,True
124_Compound_20,0,Non-sweet,0.5236,0.5946,True
252_Compound_CII,0,Non-sweet,0.5244,0.5897,True
346_Saccharine_derivative_18,0,Non-sweet,0.5273,0.6944,True
641_Saccharin,1,Sweet,0.529,0.5484,True
179_Compound_XXVI,0,Non-sweet,0.534,0.5714,True
223_Compound_LXX,0,Non-sweet,0.5375,0.5897,True
626_Mogroside_II,1,Sweet,0.5385,0.8795,True
365_para_Tolylurea,1,Sweet,0.5398,0.5862,True
123_2__4_Hydroxy_2_methoxybenzoyl_benzoic_Acid__19_,0,Non-sweet,0.5434,0.6216,True
344_Saccharine_derivative_16,1,Sweet,0.5447,0.625,True
342_Saccharine_derivative_14,0,Non-sweet,0.5447,0.625,True
341_Saccharine_derivative_13,1,Sweet,0.5447,0.625,True
131_Phthalic_Acid_Mono_4_methoxyphenyl__Ester__27_,1,Sweet,0.5466,0.6471,True
254_m_Nitrobenzene,0,Non-sweet,0.5477,0.6957,True
310_N__L_aspartyl__1_1_diaminoalkane_9,1,Sweet,0.5479,0.5682,True
137_Spiro__4_H_1_3_benzodithian__2_1___5__hydroxy_6__methoxy__1H__2__3__dihydroindene____7_,0,Non-sweet,0.5489,0.9111,True
48_Saccharin_derivative_1,1,Sweet,0.5541,0.625,True
428_N_Carbamoyl_derivative_1,0,Non-sweet,0.5546,0.7188,True
220_Compound_LXVII,0,Non-sweet,0.5549,0.6,True
180_Compound_XXVII,1,Sweet,0.5558,0.5854,True
327_Allyl_oxy_nitroaniline,1,Sweet,0.5574,0.6286,True
301_L_Aspartyl_aminomalonic_acid_diester_3,1,Sweet,0.5578,0.6038,True
129_Compound_25,0,Non-sweet,0.5611,0.7273,True
17_Xylitol,1,Sweet,0.5624,0.8333,True
374_Suosan_derivative_9,0,Non-sweet,0.5628,0.5952,True
563_Asp_141,1,Sweet,0.5631,0.6,True
122_2__2_4_Dimethoxybenzoyl_benzoic_Acid__18_,0,Non-sweet,0.5661,0.6216,True
155_Dihydroquercetin,0,Non-sweet,0.5724,0.7333,True
600_Asp_198,1,Sweet,0.5725,0.625,True
469_Asp_2,1,Sweet,0.5731,0.6047,True
176_Compound_XXIII,1,Sweet,0.5747,0.5897,True
103_Compound_29,0,Non-sweet,0.5755,0.6078,True
481_Asp_16,1,Sweet,0.576,0.7,True
237_Compound_LXXXIV,0,Non-sweet,0.5772,0.62,True
174_Compound_XXI,1,Sweet,0.5802,0.5897,True
375_Suosan_derivative_10,0,Non-sweet,0.5802,0.6585,True
99_Compound_25,0,Non-sweet,0.5806,0.6571,True
381_Suosan_derivative_16,1,Sweet,0.582,0.7222,True
323_Chloro_nitroaniline,1,Sweet,0.5891,0.6,True
602_Asp_207,1,Sweet,0.5895,0.7115,True
628_Mogroside_V,1,Sweet,0.5912,1.0,True
599_Asp_197,1,Sweet,0.5914,0.6667,True
461_Abrusoside_C,1,Sweet,0.5924,0.9405,True
604_Asp_211,1,Sweet,0.5941,0.6304,True
403_Denatonium_chloride,0,Non-sweet,0.5946,0.7556,True
326_Methyl_nitroaniline,1,Sweet,0.5988,0.6,True
286_Methyl_glucopyranoside,1,Sweet,0.6006,0.6923,True
238_Compound_LXXXV,1,Sweet,0.6032,0.75,True
75_2__3_Hydroxy_4_methoxyphenyl__4H_1_3_benzodithiole__10d_,1,Sweet,0.6035,0.625,True
37_Gentiobiose,0,Non-sweet,0.6045,0.6296,True
219_Compound_LXVI,1,Sweet,0.605,0.6216,True
562_Asp_140,1,Sweet,0.6054,0.6279,True
415_Denatonium_chloride_derivative_12,0,Non-sweet,0.6136,0.7872,True
320_Ethoxy_nitroaniline,1,Sweet,0.6146,0.75,True
49_Saccharin_derivative_2,1,Sweet,0.6149,0.7931,True
88_9_Methoxy_7_11b_dihydrobenz_b_indeno_1_2_d_pyran_6a_10_diol__4_,1,Sweet,0.6154,0.9091,True
538_Asp_104,1,Sweet,0.6223,0.6341,True
79_2__3_Hydroxy_4_methoxyphenyl__2_3_dihydro_1_4_benzodithiine__15b_,1,Sweet,0.6224,0.6667,True
416_Denatonium_chloride_derivative_13,0,Non-sweet,0.6235,0.8182,True
441_4_1__6__3Br_sucrose,1,Sweet,0.6264,0.8537,True
598_Asp_194,1,Sweet,0.6286,0.6429,True
372_Suosan_derivative_7,0,Non-sweet,0.6289,0.7273,True
73_2__3_Hydroxy_4_methoxyphenyl__4_H_1_3_benzodithiine__10a_,1,Sweet,0.6342,0.7805,True
473_Asp_6,1,Sweet,0.6362,0.775,True
554_Asp_131,1,Sweet,0.6369,0.6829,True
586_Asp_182,1,Sweet,0.6417,0.697,True
361_Hesperitin,1,Sweet,0.6445,0.75,True
251_Compound_CI,0,Non-sweet,0.6486,0.7949,True
593_Asp_189,1,Sweet,0.651,0.7222,True
53_2_amino_4_nitro_propoxybenzene,1,Sweet,0.6524,0.8571,True
478_Asp_11,1,Sweet,0.655,0.7059,True
591_Asp_187,1,Sweet,0.659,0.7297,True
231_Compound_LXXVIII,1,Sweet,0.6591,0.7692,True
497_Asp_63,1,Sweet,0.6601,0.6905,True
584_Asp_173,1,Sweet,0.6609,0.6739,True
166_Compound_XII,0,Non-sweet,0.6614,0.7059,True
552_Asp_129,1,Sweet,0.6619,0.7568,True
108_Compound_4,1,Sweet,0.6653,0.7778,True
198_Compound_XLV,0,Non-sweet,0.6663,0.7179,True
590_Asp_186,1,Sweet,0.6667,0.6857,True
596_Asp_192,1,Sweet,0.6668,0.75,True
566_Asp_153,1,Sweet,0.6717,0.7429,True
4_Aspartame_Aspartyl_phenylalanine_methylester,1,Sweet,0.6729,0.8095,True
191_Compound_XXXVIII,0,Non-sweet,0.6749,0.725,True
574_Asp_163,1,Sweet,0.6751,0.75,True
405_Denatonium_chloride_derivative_2,0,Non-sweet,0.6773,0.7,True
589_Asp_185,1,Sweet,0.6797,0.8108,True
165_Compound_XI,0,Non-sweet,0.6812,0.7209,True
68_3__3Hydroxy_4_methoxyphenyl__1_5_dihydro_2_4_benzodioxepine__12_,0,Non-sweet,0.6824,0.7805,True
573_Asp_161,1,Sweet,0.683,0.7714,True
518_Asp_84,1,Sweet,0.6836,0.7,True
575_Asp_164,1,Sweet,0.6847,0.7073,True
491_Asp_55,1,Sweet,0.6862,0.7027,True
500_Asp_66,1,Sweet,0.6939,0.7179,True
498_Asp_64,1,Sweet,0.698,0.75,True
199_Compound_XLVI,0,Non-sweet,0.6987,0.7857,True
411_Denatonium_chloride_derivative_8,0,Non-sweet,0.6993,0.7674,True
503_Asp_69,1,Sweet,0.7005,0.7838,True
539_Asp_105,1,Sweet,0.7029,0.8205,True
516_Asp_82,1,Sweet,0.7033,0.7895,True
540_Asp_106,1,Sweet,0.7054,0.7838,True
494_Asp_60,1,Sweet,0.7055,0.8,True
