Molecule,logSw,Mean_kNN_Tc,Max_Tc_to_train,Within_AD
3-(aminocarbonyl)-2_4_6-tribromobenzenepropanoic_acid,3.6,0.1948,0.2,False
saccharin,2.57,0.2267,0.2368,False
perrilartine,3.3,0.2393,0.6571,False
isovanillic_26,1.7,0.2447,0.25,False
monatine,3.11,0.2493,0.2807,False
gaudichaudioside_A,1.74,0.2607,0.2843,False
hematoxylin,2.08,0.2942,0.587,False
albiziasaponin_B,2.78,0.4064,0.4123,True
osladin,2.65,0.4085,0.7079,True
acesulfame_potassium_CH3_H,1.3,0.4315,0.5667,True
alitame,3.3,0.4339,0.4583,True
isovanillic_15,2.3,0.4573,0.7,True
alpha-D-Psicofuranose,-0.43,0.4749,0.5833,True
fucose,-0.16,0.475,0.5,True
Periandrin_III,2.0,0.4858,0.618,True
Periandrin_I,1.93,0.487,0.6136,True
isovanillic_19,2.7,0.5046,0.54,True
phyllodulcin_5,2.18,0.5149,0.7755,True
isovanillic_20,2.82,0.5284,0.6087,True
neotame,3.89,0.5352,0.62,True
4-1p-6p-3F-sucrose,1.6,0.5452,0.58,True
alpha-L-Sorbopyranose,-0.28,0.5466,1.0,True
beta-D-Fructopyranose,-0.11,0.5466,1.0,True
psicose,-0.15,0.5466,1.0,True
asp_4,0.89,0.5519,0.587,True
asp_6,1.5,0.5543,0.5909,True
isomalt,-0.27,0.5736,0.6429,True
phyllodulcin_7,2.48,0.582,0.7111,True
isovanillic_10,2.3,0.5836,0.6444,True
asp_207,2.76,0.5924,0.7115,True
asp_72,0.99,0.5986,0.6098,True
asp_8,1.57,0.5989,0.6667,True
isovanillic_7,2.4,0.6086,0.6522,True
asp_52,0.27,0.6115,0.6667,True
asp_88,2.13,0.614,0.6957,True
phyllodulcin_2,2.0,0.6163,0.7234,True
isovanillic_3,2.54,0.6168,0.6667,True
asp_71,1.03,0.6178,0.65,True
4-galactosyl-kojibiose,-0.66,0.6217,0.8387,True
asp_131,0.68,0.6229,0.6842,True
asp_53,0.25,0.6252,0.6818,True
isovanillic_9,3.3,0.6264,0.6667,True
asp_135,0.36,0.6341,0.7222,True
rebaudioside_F,2.05,0.6342,0.6667,True
asp_85,1.68,0.6345,0.6889,True
asp_182,0.68,0.6364,0.697,True
asp_187,1.75,0.638,0.7297,True
asp_186,1.2,0.6523,0.6757,True
kojibiose,-0.57,0.6524,0.8333,True
beta-L-Fucopyranose,-0.48,0.6609,1.0,True
asp_18,1.58,0.6616,0.75,True
asp_157,1.3,0.6623,0.7073,True
asp_3,1.56,0.6655,0.7,True
asp_76,1.85,0.6669,0.6923,True
lactulosucrose,-0.6,0.6747,0.7436,True
asp_153,0.43,0.6761,0.7647,True
asp_189,1.95,0.6886,0.7222,True
asp_188,2.1,0.691,0.8333,True
asp_191,0.68,0.6927,0.9167,True
asp_64,2.15,0.6933,0.75,True
asp_142,0.88,0.6986,0.9744,True
asp_69,0.56,0.7005,0.7838,True
alpha-D-lactose,-0.438183,0.7022,1.0,True
maltose,-0.41,0.7022,1.0,True
asp_138,1.16,0.7095,0.973,True
asp_24,2.07,0.71,0.8919,True
asp_87,1.53,0.7136,0.7895,True
glycyrrhizinate_3,2.18,0.7164,1.0,True
asp_155,0.7,0.7166,0.7632,True
asp_105,1.21,0.7227,0.8205,True
asp_23,1.9,0.7233,0.9167,True
asp_90,1.23,0.7254,0.7436,True
4-O-n-propyl_glycosides_DHC,3.3,0.7303,0.8333,True
4-Cl-sucrose,0.7,0.7325,0.7805,True
asp_109,1.22,0.734,0.9024,True
asp_80,2.18,0.7376,0.8974,True
asp_99,1.16,0.7381,0.7895,True
asp_78,1.98,0.7435,0.7714,True
asp_159,1.04,0.7448,0.7647,True
asp_93,1.48,0.746,0.7895,True
homoeohesperidin_DHC,3.0,0.7513,0.8571,True
asp_77,1.58,0.7616,0.8462,True
asp_89,1.7,0.7656,0.9737,True
4p-Br-4-1p-6p-3Cl-sucrose,3.51,0.7689,0.8372,True
1p-Cl-sucrose,1.3,0.7696,0.7949,True
asp_201,3.14,0.8104,0.9737,True
4-1p-2Cl-sucrose,2.08,0.8147,0.8974,True
1p-6p-2Cl-sucrose,1.89,0.8154,0.8649,True
rebaudioside_B,2.51,0.8189,0.9254,True
arabitol,-0.6,0.8333,1.0,True
dulcoside_A,1.93,0.8643,0.9324,True
4-1p-6p-3Cl-sucrose,2.8,0.8652,1.0,True
beta-D-Xylofuranose,-0.64,0.8672,0.9412,True
rebaudioside_A,2.47,0.8871,0.9429,True
stevioside,2.27,0.9003,0.9701,True
