Molecule,logSw,Mean_kNN_Tc,Max_Tc_to_train,Within_AD
perrilartine,3.3,0.1347,0.1754,False
perillaldehyde,1.08,0.155,0.2037,False
trans-cinnamaldehyde,1.7,0.1567,0.1765,False
trans-anethole,1.11,0.1681,0.2,False
selligueain_A,1.54,0.1951,0.2222,False
4beta_10alpha-dimethyl-1_2_3_4_5_10-hexahydrofluorene-4alpha_6alpha-dicarboxylic_acid,3.19,0.1988,0.2222,False
dulcin,2.3,0.2278,0.25,False
6-chloro-tryptophan,3.0,0.2433,0.2545,False
telosmoside_A15,3.0,0.2702,0.3308,False
tryptophan,1.54,0.2849,0.3,False
taxifolin_3-acetate,1.9,0.3032,0.3548,False
baiyunoside,2.7,0.3087,0.3303,False
isovanillic_25,2.0,0.3118,0.4231,False
bernardame,5.3,0.3249,0.5172,False
pterocaryoside_A,1.8,0.3843,0.8077,True
albiziasaponin_B,2.78,0.3942,0.4123,True
xylobiose,-0.4,0.395,0.5769,True
isovanillic_16,2.0,0.403,0.7,True
polypodoside_A,2.78,0.4119,0.7079,True
phyllodulcin_11,2.4,0.4317,0.5789,True
fucose,-0.16,0.4348,0.5,True
isovanillic_13,2.7,0.4349,0.4915,True
abrusoside_B,2.0,0.4678,0.9111,True
alitame,3.3,0.4707,0.5,True
alpha-D-Psicofuranose,-0.43,0.481,0.5833,True
abrusoside_C,1.7,0.487,0.9405,True
isovanillic_20,2.82,0.5089,0.6087,True
Periandrin_III,2.0,0.5096,0.7949,True
4-1p-6p-3I-sucrose,2.08,0.5189,0.5319,True
asp_17,1.19,0.5196,0.5714,True
phyllodulcin_5,2.18,0.5215,0.7755,True
isomalt,-0.27,0.5332,0.6429,True
Periandrin_II,2.0,0.5358,0.8025,True
glycyrrhizinate_3,2.18,0.5366,0.8415,True
glycyrrhizin,1.96,0.5366,0.8415,True
isovanillic_19,2.7,0.5603,0.7609,True
isovanillic_6,2.7,0.5714,0.6383,True
turanose,-0.44,0.5776,0.7045,True
phyllodulcin_7,2.48,0.584,0.7111,True
sorbose,-0.22,0.6,1.0,True
D-tagatose,-0.04,0.6,1.0,True
asp_141,0.51,0.6002,0.6923,True
asp_5,1.19,0.6042,0.6429,True
asp_58,0.13,0.6066,0.6571,True
maltitol,-0.06,0.6131,1.0,True
asp_14,1.14,0.6141,0.6579,True
4-1p-6p-3Br-sucrose,2.9,0.6152,0.8537,True
phyllodulcin_2,2.0,0.6163,0.7234,True
isovanillic_3,2.54,0.6168,0.6667,True
asp_130,0.6,0.6421,0.7568,True
asp_4,0.89,0.6497,0.7895,True
asp_76,1.85,0.6509,0.6667,True
beta-D-Fructopyranose,-0.11,0.6539,1.0,True
psicose,-0.15,0.6539,1.0,True
asp_197,2.03,0.656,0.7949,True
beta-L-Fucopyranose,-0.48,0.6609,1.0,True
asp_63,2.95,0.6685,0.6905,True
asp_153,0.43,0.6737,0.7647,True
asp_156,0.6,0.6777,0.7297,True
asp_136,0.6,0.6824,0.7692,True
asp_66,2.0,0.6904,0.7179,True
asp_101,1.38,0.6923,0.7632,True
asp_186,1.2,0.6925,0.7576,True
asp_104,0.48,0.6926,0.8108,True
asp_124,1.43,0.6938,0.7143,True
asp_154,0.11,0.6993,0.7429,True
asp_138,1.16,0.7034,0.973,True
asp_189,1.95,0.7035,0.7222,True
asp_143,0.94,0.7067,0.9744,True
asp_53,0.25,0.7103,0.9286,True
asp_96,1.3,0.7116,0.775,True
asp_123,1.53,0.7173,0.7436,True
asp_82,2.08,0.7194,0.7895,True
asp_83,2.08,0.7204,0.7838,True
asp_93,1.48,0.7257,0.775,True
asp_74,1.61,0.7273,0.7368,True
asp_78,1.98,0.7313,0.7568,True
asp_100,1.48,0.7388,0.8158,True
asp_160,1.49,0.7437,0.7714,True
4-6-1p-6p-4Cl-sucrose,2.3,0.745,0.7895,True
4p-F-4-1p-6p-3Cl-sucrose,3.0,0.757,0.7955,True
lactose,-0.54,0.7938,1.0,True
maltose,-0.41,0.7938,1.0,True
asp_212,2.44,0.7987,0.975,True
1p-Cl-sucrose,1.3,0.8002,0.8919,True
sucrose,0.0,0.8058,0.8421,True
4-1p-6p-3Cl-sucrose,2.8,0.8313,0.8974,True
sucralose,2.78,0.8313,0.8974,True
neohesperidin_DHC,3.04,0.8324,0.8571,True
xylitol,-0.01,0.8333,1.0,True
arabinose,-0.16,0.8453,1.0,True
mogroside_V,2.53,0.848,1.0,True
rebaudioside_C,1.93,0.8628,0.9324,True
rebaudioside_D,2.51,0.8847,0.9565,True
stevioside,2.27,0.913,0.9701,True
